Tanggal,Wilayah,PM10,SO2,CO,O3,NO2,Max,Critical,Kategori
4/17/2019,DKI1,50,7,37,49,16,50,PM10,BAIK
4/18/2019,DKI1,51,5,19,60,16,60,O3,SEDANG
4/19/2019,DKI1,37,4,21,20,9,37,PM10,BAIK
4/20/2019,DKI1,21,6,16,47,20,47,O3,BAIK
4/21/2019,DKI1,43,9,16,31,16,43,PM10,BAIK
4/22/2019,DKI1,40,9,17,28,9,40,PM10,BAIK
4/23/2019,DKI1,50,16,18,27,10,50,PM10,BAIK
4/24/2019,DKI1,42,10,20,16,15,42,PM10,BAIK
4/25/2019,DKI1,65,13,36,60,12,65,PM10,SEDANG
4/26/2019,DKI1,33,7,22,67,22,67,O3,SEDANG
4/27/2019,DKI1,44,8,31,32,11,44,PM10,BAIK
4/28/2019,DKI1,49,6,42,38,11,49,PM10,BAIK
4/29/2019,DKI1,53,8,35,48,19,53,PM10,SEDANG
4/30/2019,DKI1,42,4,29,48,21,48,O3,BAIK
5/1/2019,DKI1,49,3,24,54,11,54,O3,SEDANG
5/2/2019,DKI1,27,5,14,19,5,27,PM10,BAIK
5/3/2019,DKI1,41,15,24,42,16,42,O3,BAIK
5/4/2019,DKI1,51,12,32,29,14,51,PM10,SEDANG
5/5/2019,DKI1,38,7,34,82,15,82,O3,SEDANG
5/6/2019,DKI1,35,7,22,70,13,70,O3,SEDANG
5/7/2019,DKI1,49,9,31,44,16,49,PM10,BAIK
5/8/2019,DKI1,55,4,30,61,21,61,O3,SEDANG
5/9/2019,DKI1,52,6,26,57,19,57,O3,SEDANG
5/10/2019,DKI1,35,3,24,42,16,42,O3,BAIK
5/11/2019,DKI1,47,3,21,40,13,47,PM10,BAIK
5/12/2019,DKI1,57,2,19,46,12,57,PM10,SEDANG
5/13/2019,DKI1,51,3,28,41,15,51,PM10,SEDANG
5/14/2019,DKI1,53,6,23,31,13,53,PM10,SEDANG
5/15/2019,DKI1,56,11,19,38,12,56,PM10,SEDANG
5/16/2019,DKI1,48,7,23,78,18,78,O3,SEDANG
5/17/2019,DKI1,53,7,24,47,18,53,PM10,SEDANG
5/18/2019,DKI1,47,10,21,59,15,59,O3,SEDANG
5/19/2019,DKI1,72,12,18,80,16,80,O3,SEDANG
5/20/2019,DKI1,54,8,22,47,15,54,PM10,SEDANG
5/21/2019,DKI1,55,7,21,66,16,66,O3,SEDANG
5/22/2019,DKI1,52,10,16,44,10,52,PM10,SEDANG
5/23/2019,DKI1,47,7,20,59,16,59,O3,SEDANG
5/24/2019,DKI1,55,11,22,38,13,55,PM10,SEDANG
5/25/2019,DKI1,51,9,15,49,19,51,PM10,SEDANG
5/26/2019,DKI1,49,8,14,75,15,75,O3,SEDANG
5/27/2019,DKI1,58,13,32,60,14,60,O3,SEDANG
5/28/2019,DKI1,52,10,26,39,10,52,PM10,SEDANG
5/29/2019,DKI1,51,10,19,40,11,51,PM10,SEDANG
5/30/2019,DKI1,53,6,19,54,10,54,O3,SEDANG
5/31/2019,DKI1,48,6,16,42,16,48,PM10,BAIK
6/1/2019,DKI1,50,6,18,69,15,69,O3,SEDANG
6/2/2019,DKI1,53,5,22,72,14,72,O3,SEDANG
6/3/2019,DKI1,40,4,13,62,10,62,O3,SEDANG
6/4/2019,DKI1,55,4,18,48,11,55,PM10,SEDANG
6/5/2019,DKI1,53,9,20,35,13,53,PM10,SEDANG
6/6/2019,DKI1,33,6,11,39,9,39,O3,BAIK
6/7/2019,DKI1,43,5,9,34,8,43,PM10,BAIK
6/8/2019,DKI1,29,4,13,71,8,71,O3,SEDANG
6/9/2019,DKI1,37,5,17,76,15,76,O3,SEDANG
6/10/2019,DKI1,45,8,20,56,16,56,O3,SEDANG
6/11/2019,DKI1,48,8,22,64,22,64,O3,SEDANG
6/12/2019,DKI1,67,8,22,72,18,72,O3,SEDANG
6/13/2019,DKI1,55,9,25,68,21,68,O3,SEDANG
6/14/2019,DKI1,52,7,21,59,16,59,O3,SEDANG
6/15/2019,DKI1,46,7,27,56,24,56,O3,SEDANG
6/16/2019,DKI1,50,9,16,70,17,70,O3,SEDANG
6/17/2019,DKI1,52,9,23,42,14,52,PM10,SEDANG
6/18/2019,DKI1,52,10,20,44,12,52,PM10,SEDANG
6/19/2019,DKI1,52,11,16,68,16,68,O3,SEDANG
6/20/2019,DKI1,62,12,25,79,17,79,O3,SEDANG
6/21/2019,DKI1,62,13,23,66,13,66,O3,SEDANG
6/22/2019,DKI1,61,14,17,91,15,91,O3,SEDANG
6/23/2019,DKI1,65,9,20,76,17,76,O3,SEDANG
6/24/2019,DKI1,63,10,20,75,13,75,O3,SEDANG
6/25/2019,DKI1,---,13,23,78,14,78,O3,SEDANG
6/26/2019,DKI1,63,14,20,62,15,63,PM10,SEDANG
6/27/2019,DKI1,71,10,22,113,16,113,O3,TIDAK SEHAT
6/28/2019,DKI1,62,8,28,69,21,69,O3,SEDANG
6/29/2019,DKI1,59,14,26,51,14,59,PM10,SEDANG
6/30/2019,DKI1,57,13,16,58,12,58,O3,SEDANG
7/1/2019,DKI1,59,10,23,51,15,59,PM10,SEDANG
7/2/2019,DKI1,61,11,24,73,15,73,O3,SEDANG
7/3/2019,DKI1,60,26,21,45,16,60,PM10,SEDANG
7/4/2019,DKI1,58,25,20,29,16,58,PM10,SEDANG
7/5/2019,DKI1,58,22,23,43,13,58,PM10,SEDANG
7/6/2019,DKI1,57,27,22,42,13,57,PM10,SEDANG
7/7/2019,DKI1,63,23,12,41,7,63,PM10,SEDANG
7/8/2019,DKI1,60,23,17,36,10,60,PM10,SEDANG
7/9/2019,DKI1,60,21,22,72,15,72,O3,SEDANG
7/10/2019,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
7/11/2019,DKI1,62,26,20,32,14,62,PM10,SEDANG
7/12/2019,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
7/13/2019,DKI1,59,20,18,105,14,105,O3,TIDAK SEHAT
7/14/2019,DKI1,72,20,18,105,17,105,O3,TIDAK SEHAT
7/15/2019,DKI1,58,23,23,39,13,58,PM10,SEDANG
7/16/2019,DKI1,62,23,24,51,19,62,PM10,SEDANG
7/17/2019,DKI1,64,23,27,65,19,65,O3,SEDANG
7/18/2019,DKI1,66,22,23,49,16,66,PM10,SEDANG
7/19/2019,DKI1,55,22,26,34,18,55,PM10,SEDANG
7/20/2019,DKI1,62,22,22,64,22,64,O3,SEDANG
7/21/2019,DKI1,57,19,18,69,12,69,O3,SEDANG
7/22/2019,DKI1,59,20,24,79,21,79,O3,SEDANG
7/23/2019,DKI1,64,25,23,42,15,64,PM10,SEDANG
7/24/2019,DKI1,62,22,20,52,19,62,PM10,SEDANG
7/25/2019,DKI1,66,23,25,75,25,75,O3,SEDANG
7/26/2019,DKI1,65,22,21,38,21,65,PM10,SEDANG
7/27/2019,DKI1,59,15,17,47,13,59,PM10,SEDANG
7/28/2019,DKI1,66,14,15,73,13,73,O3,SEDANG
7/29/2019,DKI1,65,14,27,53,17,65,PM10,SEDANG
7/30/2019,DKI1,64,20,26,63,15,64,PM10,SEDANG
7/31/2019,DKI1,63,21,22,64,13,64,O3,SEDANG
8/1/2019,DKI1,64,20,22,62,18,64,PM10,SEDANG
8/2/2019,DKI1,61,20,22,63,20,63,O3,SEDANG
8/3/2019,DKI1,62,20,20,63,19,63,O3,SEDANG
8/4/2019,DKI1,57,19,16,65,17,65,O3,SEDANG
8/5/2019,DKI1,57,20,---,55,22,57,PM10,SEDANG
8/6/2019,DKI1,54,21,20,90,18,90,O3,SEDANG
8/7/2019,DKI1,55,20,22,51,13,55,PM10,SEDANG
8/8/2019,DKI1,63,22,24,73,21,73,O3,SEDANG
8/9/2019,DKI1,66,20,21,66,14,66,PM10,SEDANG
8/10/2019,DKI1,73,21,24,43,14,73,PM10,SEDANG
8/11/2019,DKI1,57,19,13,40,9,57,PM10,SEDANG
8/12/2019,DKI1,55,19,17,37,10,55,PM10,SEDANG
8/13/2019,DKI1,57,19,17,32,10,57,PM10,SEDANG
8/14/2019,DKI1,52,18,19,45,18,52,PM10,SEDANG
8/15/2019,DKI1,59,18,21,52,17,59,PM10,SEDANG
8/16/2019,DKI1,66,17,26,81,19,81,O3,SEDANG
8/17/2019,DKI1,62,16,22,76,14,76,O3,SEDANG
8/18/2019,DKI1,---,18,13,48,10,48,O3,BAIK
8/19/2019,DKI1,69,18,24,115,19,115,O3,TIDAK SEHAT
8/20/2019,DKI1,62,20,23,74,18,74,O3,SEDANG
8/21/2019,DKI1,56,23,19,36,10,56,PM10,SEDANG
8/22/2019,DKI1,52,20,18,30,14,52,PM10,SEDANG
8/23/2019,DKI1,61,17,29,53,18,61,PM10,SEDANG
8/24/2019,DKI1,55,19,22,65,19,65,O3,SEDANG
8/25/2019,DKI1,52,17,14,73,12,73,O3,SEDANG
8/26/2019,DKI1,57,18,22,89,16,89,O3,SEDANG
8/27/2019,DKI1,56,17,24,51,22,56,PM10,SEDANG
8/28/2019,DKI1,58,15,24,53,17,58,PM10,SEDANG
8/29/2019,DKI1,61,16,26,53,14,61,PM10,SEDANG
8/30/2019,DKI1,56,19,20,58,12,58,O3,SEDANG
8/31/2019,DKI1,68,19,16,50,10,68,PM10,SEDANG
9/1/2019,DKI1,54,19,13,50,10,54,PM10,SEDANG
9/2/2019,DKI1,58,18,24,67,16,67,O3,SEDANG
9/3/2019,DKI1,57,18,20,61,20,61,O3,SEDANG
9/4/2019,DKI1,57,18,20,46,12,57,PM10,SEDANG
9/5/2019,DKI1,60,20,22,52,,60,PM10,SEDANG
9/6/2019,DKI1,56,20,23,43,15,56,PM10,SEDANG
9/7/2019,DKI1,57,21,20,49,13,57,PM10,SEDANG
9/8/2019,DKI1,52,21,14,59,10,59,O3,SEDANG
9/9/2019,DKI1,53,20,18,47,14,53,PM10,SEDANG
9/10/2019,DKI1,50,26,15,45,13,50,PM10,BAIK
9/11/2019,DKI1,54,24,20,69,16,69,O3,SEDANG
9/12/2019,DKI1,57,22,21,90,18,90,O3,SEDANG
9/13/2019,DKI1,57,21,22,90,18,90,O3,SEDANG
9/14/2019,DKI1,63,21,20,89,14,89,O3,SEDANG
9/15/2019,DKI1,55,21,16,50,14,55,PM10,SEDANG
9/16/2019,DKI1,51,21,15,35,10,51,PM10,SEDANG
9/17/2019,DKI1,51,22,17,35,14,51,PM10,SEDANG
9/18/2019,DKI1,52,20,20,47,16,52,PM10,SEDANG
9/19/2019,DKI1,,19,,,,19,SO2,BAIK
9/20/2019,DKI1,55,20,19,41,13,55,PM10,SEDANG
9/21/2019,DKI1,51,22,16,95,14,95,O3,SEDANG
9/22/2019,DKI1,58,22,16,75,12,75,O3,SEDANG
9/23/2019,DKI1,56,23,18,45,12,56,PM10,SEDANG
9/24/2019,DKI1,54,22,18,48,12,54,PM10,SEDANG
9/25/2019,DKI1,67,25,24,71,17,71,O3,SEDANG
9/26/2019,DKI1,59,20,21,64,14,64,O3,SEDANG
9/27/2019,DKI1,58,23,23,46,16,58,PM10,SEDANG
9/28/2019,DKI1,61,19,18,49,10,61,PM10,SEDANG
9/29/2019,DKI1,73,18,16,58,14,73,PM10,SEDANG
9/30/2019,DKI1,62,18,17,65,14,65,O3,SEDANG
10/1/2019,DKI1,62,24,18,75,16,75,O3,SEDANG
10/2/2019,DKI1,62,20,15,56,16,62,PM10,SEDANG
10/3/2019,DKI1,59,19,16,65,21,65,O3,SEDANG
10/4/2019,DKI1,56,19,17,74,23,74,O3,SEDANG
10/5/2019,DKI1,40,51,14,49,38,51,SO2,SEDANG
10/6/2019,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
10/7/2019,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
10/8/2019,DKI1,---,25,19,52,13,52,O3,SEDANG
10/9/2019,DKI1,---,19,19,47,16,47,O3,BAIK
10/10/2019,DKI1,69,18,19,73,16,73,O3,SEDANG
10/11/2019,DKI1,65,18,21,92,24,92,O3,SEDANG
10/12/2019,DKI1,66,19,16,72,14,72,O3,SEDANG
10/13/2019,DKI1,63,19,17,84,13,84,O3,SEDANG
10/14/2019,DKI1,62,19,18,79,13,79,O3,SEDANG
10/15/2019,DKI1,59,18,18,91,14,91,O3,SEDANG
10/16/2019,DKI1,66,19,22,78,17,78,O3,SEDANG
10/17/2019,DKI1,58,18,20,70,12,70,O3,SEDANG
10/18/2019,DKI1,57,18,17,41,13,57,PM10,SEDANG
10/19/2019,DKI1,57,19,17,30,11,57,PM10,SEDANG
10/20/2019,DKI1,62,20,22,76,12,76,O3,SEDANG
10/21/2019,DKI1,58,22,40,53,11,58,PM10,SEDANG
10/22/2019,DKI1,55,23,16,66,16,66,O3,SEDANG
10/23/2019,DKI1,52,22,15,73,17,73,O3,SEDANG
10/24/2019,DKI1,63,25,14,61,18,63,PM10,SEDANG
10/25/2019,DKI1,61,21,13,56,12,61,PM10,SEDANG
10/26/2019,DKI1,63,23,13,93,15,93,O3,SEDANG
10/27/2019,DKI1,68,22,28,72,12,72,O3,SEDANG
10/28/2019,DKI1,59,19,16,45,15,59,PM10,SEDANG
10/29/2019,DKI1,62,21,21,43,14,62,PM10,SEDANG
10/30/2019,DKI1,56,23,19,89,16,89,O3,SEDANG
10/31/2019,DKI1,59,28,18,58,14,59,PM10,SEDANG
11/1/2019,DKI1,49,22,13,86,14,86,O3,SEDANG
11/2/2019,DKI1,47,19,15,58,13,58,O3,SEDANG
11/3/2019,DKI1,43,20,13,62,12,62,O3,SEDANG
11/4/2019,DKI1,41,22,14,70,12,70,O3,SEDANG
11/5/2019,DKI1,59,21,15,92,17,92,O3,SEDANG
11/6/2019,DKI1,56,20,21,86,17,86,O3,SEDANG
11/7/2019,DKI1,55,22,22,85,21,85,O3,SEDANG
11/8/2019,DKI1,72,24,20,86,19,86,O3,SEDANG
11/9/2019,DKI1,59,27,17,129,16,129,O3,TIDAK SEHAT
11/10/2019,DKI1,63,27,16,79,20,79,O3,SEDANG
11/11/2019,DKI1,59,24,13,78,18,78,O3,SEDANG
11/12/2019,DKI1,62,22,17,78,15,78,O3,SEDANG
11/13/2019,DKI1,73,24,20,63,20,73,PM10,SEDANG
11/14/2019,DKI1,67,22,29,28,15,67,PM10,SEDANG
11/15/2019,DKI1,55,29,15,36,10,55,PM10,SEDANG
11/16/2019,DKI1,57,24,16,66,12,66,O3,SEDANG
11/17/2019,DKI1,55,23,12,80,14,80,O3,SEDANG
11/18/2019,DKI1,57,24,13,80,22,80,O3,SEDANG
11/19/2019,DKI1,56,23,12,45,17,56,PM10,SEDANG
11/20/2019,DKI1,48,21,15,63,15,63,O3,SEDANG
11/21/2019,DKI1,52,25,14,66,13,66,O3,SEDANG
11/22/2019,DKI1,53,20,19,57,17,57,O3,SEDANG
11/23/2019,DKI1,67,21,21,72,19,72,O3,SEDANG
11/24/2019,DKI1,64,22,21,69,13,69,O3,SEDANG
11/25/2019,DKI1,63,21,18,82,18,82,O3,SEDANG
11/26/2019,DKI1,64,22,20,66,15,66,O3,SEDANG
11/27/2019,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
11/28/2019,DKI1,67,23,22,48,14,67,PM10,SEDANG
11/29/2019,DKI1,58,21,16,53,11,58,PM10,SEDANG
11/30/2019,DKI1,56,19,15,40,9,56,PM10,SEDANG
12/1/2019,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
12/2/2019,DKI1,53,20,17,81,14,81,O3,SEDANG
12/3/2019,DKI1,62,23,20,64,14,64,O3,SEDANG
12/4/2019,DKI1,57,26,17,45,9,57,PM10,SEDANG
12/5/2019,DKI1,56,23,15,41,13,56,PM10,SEDANG
12/6/2019,DKI1,54,19,19,40,11,54,PM10,SEDANG
12/7/2019,DKI1,42,23,14,31,10,42,PM10,BAIK
12/8/2019,DKI1,51,21,22,57,10,57,O3,SEDANG
12/9/2019,DKI1,53,22,18,69,19,69,O3,SEDANG
12/10/2019,DKI1,55,21,18,52,12,55,PM10,SEDANG
12/11/2019,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
12/12/2019,DKI1,---,22,---,46,14,46,O3,BAIK
12/13/2019,DKI1,63,32,22,59,13,63,PM10,SEDANG
12/14/2019,DKI1,53,23,15,48,13,53,PM10,SEDANG
12/15/2019,DKI1,41,23,9,69,11,69,O3,SEDANG
12/16/2019,DKI1,61,26,20,56,18,61,PM10,SEDANG
12/17/2019,DKI1,56,25,16,38,12,56,PM10,SEDANG
12/18/2019,DKI1,54,22,22,54,17,54,PM10,SEDANG
12/19/2019,DKI1,54,24,17,46,13,54,PM10,SEDANG
12/20/2019,DKI1,59,24,19,46,16,59,PM10,SEDANG
12/21/2019,DKI1,57,22,28,49,14,57,PM10,SEDANG
12/22/2019,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
12/23/2019,DKI1,54,23,20,73,14,73,O3,SEDANG
12/24/2019,DKI1,55,23,23,64,11,64,O3,SEDANG
12/25/2019,DKI1,51,20,11,43,9,51,PM10,SEDANG
12/26/2019,DKI1,54,23,19,52,9,54,PM10,SEDANG
12/27/2019,DKI1,52,28,21,41,11,52,PM10,SEDANG
12/28/2019,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
12/29/2019,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
12/30/2019,DKI1,52,22,28,47,9,52,PM10,SEDANG
12/31/2019,DKI1,41,22,14,29,9,41,PM10,BAIK
1/1/2020,DKI1,30,20,10,32,9,32,O3,BAIK
1/2/2020,DKI1,27,22,12,29,8,29,O3,BAIK
1/3/2020,DKI1,39,22,14,32,10,39,PM10,BAIK
1/4/2020,DKI1,34,22,14,38,10,38,O3,BAIK
1/5/2020,DKI1,35,22,12,31,9,35,PM10,BAIK
1/6/2020,DKI1,46,23,16,32,9,46,PM10,BAIK
1/7/2020,DKI1,37,23,26,33,11,37,PM10,BAIK
1/8/2020,DKI1,41,26,20,30,11,41,PM10,BAIK
1/9/2020,DKI1,52,23,29,24,12,52,PM10,SEDANG
1/10/2020,DKI1,24,24,18,25,8,25,O3,BAIK
1/11/2020,DKI1,34,31,25,23,8,34,PM10,BAIK
1/12/2020,DKI1,27,23,9,33,4,33,O3,BAIK
1/13/2020,DKI1,33,26,12,36,8,36,O3,BAIK
1/14/2020,DKI1,34,28,13,27,7,34,PM10,BAIK
1/15/2020,DKI1,29,22,13,36,8,36,O3,BAIK
1/16/2020,DKI1,52,60,19,30,8,60,SO2,SEDANG
1/17/2020,DKI1,51,34,21,74,20,74,O3,SEDANG
1/18/2020,DKI1,37,29,14,31,6,37,PM10,BAIK
1/19/2020,DKI1,61,34,36,58,15,61,PM10,SEDANG
1/20/2020,DKI1,47,30,15,33,9,47,PM10,BAIK
1/21/2020,DKI1,30,36,14,26,9,36,SO2,BAIK
1/22/2020,DKI1,40,36,18,28,15,40,PM10,BAIK
1/23/2020,DKI1,41,---,27,19,18,41,PM10,BAIK
1/24/2020,DKI1,44,---,24,16,13,44,PM10,BAIK
1/25/2020,DKI1,27,---,31,27,12,31,CO,BAIK
1/26/2020,DKI1,44,---,51,49,11,51,CO,SEDANG
1/27/2020,DKI1,25,---,21,39,13,39,O3,BAIK
1/28/2020,DKI1,63,---,27,40,17,63,PM10,SEDANG
1/29/2020,DKI1,49,11,23,38,19,49,PM10,BAIK
1/30/2020,DKI1,38,12,21,35,20,38,PM10,BAIK
1/31/2020,DKI1,44,10,22,25,16,44,PM10,BAIK
2/1/2020,DKI1,29,8,19,27,14,29,PM10,BAIK
2/2/2020,DKI1,37,10,24,28,12,37,PM10,BAIK
2/3/2020,DKI1,39,8,37,19,15,39,PM10,BAIK
2/4/2020,DKI1,24,8,29,21,14,29,CO,BAIK
2/5/2020,DKI1,43,8,30,29,12,43,PM10,BAIK
2/6/2020,DKI1,50,9,26,32,18,50,PM10,BAIK
2/7/2020,DKI1,51,19,28,25,16,51,PM10,SEDANG
2/8/2020,DKI1,29,8,24,26,12,29,PM10,BAIK
2/9/2020,DKI1,35,7,18,33,12,35,PM10,BAIK
2/10/2020,DKI1,38,8,25,51,15,51,O3,SEDANG
2/11/2020,DKI1,53,9,24,31,16,53,PM10,SEDANG
2/12/2020,DKI1,47,10,18,68,19,68,O3,SEDANG
2/13/2020,DKI1,43,7,16,39,20,43,PM10,BAIK
2/14/2020,DKI1,51,6,25,21,18,51,PM10,SEDANG
2/15/2020,DKI1,60,7,51,53,17,60,PM10,SEDANG
2/16/2020,DKI1,52,7,24,41,16,52,PM10,SEDANG
2/17/2020,DKI1,24,5,18,28,12,28,O3,BAIK
2/18/2020,DKI1,45,16,48,23,15,48,CO,BAIK
2/19/2020,DKI1,38,8,27,17,11,38,PM10,BAIK
2/20/2020,DKI1,30,5,16,20,13,30,PM10,BAIK
2/21/2020,DKI1,35,11,15,22,14,35,PM10,BAIK
2/22/2020,DKI1,31,8,16,30,13,31,PM10,BAIK
2/23/2020,DKI1,28,5,5,29,9,29,O3,BAIK
2/24/2020,DKI1,20,4,10,27,9,27,O3,BAIK
2/25/2020,DKI1,19,5,14,25,13,25,O3,BAIK
2/26/2020,DKI1,42,5,15,27,13,42,PM10,BAIK
2/27/2020,DKI1,33,5,16,22,13,33,PM10,BAIK
2/28/2020,DKI1,---,6,17,25,16,25,O3,BAIK
2/29/2020,DKI1,59,7,40,18,13,59,PM10,SEDANG
3/1/2020,DKI1,45,5,13,28,8,45,PM10,BAIK
3/2/2020,DKI1,34,5,15,32,10,34,PM10,BAIK
3/3/2020,DKI1,59,5,23,29,14,59,PM10,SEDANG
3/4/2020,DKI1,56,7,19,55,16,56,PM10,SEDANG
3/5/2020,DKI1,35,6,16,30,13,35,PM10,BAIK
3/6/2020,DKI1,36,10,19,33,16,36,PM10,BAIK
3/7/2020,DKI1,37,7,17,28,17,37,PM10,BAIK
3/8/2020,DKI1,45,7,16,39,11,45,PM10,BAIK
3/9/2020,DKI1,39,6,12,19,11,39,PM10,BAIK
3/10/2020,DKI1,30,5,12,33,11,33,O3,BAIK
3/11/2020,DKI1,40,5,15,38,13,40,PM10,BAIK
3/12/2020,DKI1,48,5,19,39,20,48,PM10,BAIK
3/13/2020,DKI1,34,4,17,36,12,36,O3,BAIK
3/14/2020,DKI1,64,6,19,87,17,87,O3,SEDANG
3/15/2020,DKI1,50,3,17,42,13,50,PM10,BAIK
3/16/2020,DKI1,50,4,20,36,19,50,PM10,BAIK
3/17/2020,DKI1,41,4,21,57,15,57,O3,SEDANG
3/18/2020,DKI1,44,3,15,54,12,54,O3,SEDANG
3/19/2020,DKI1,62,7,26,37,14,62,PM10,SEDANG
3/20/2020,DKI1,48,4,12,51,14,51,O3,SEDANG
3/21/2020,DKI1,43,6,15,37,17,43,PM10,BAIK
3/22/2020,DKI1,34,4,7,42,9,42,O3,BAIK
3/23/2020,DKI1,40,4,12,66,13,66,O3,SEDANG
3/24/2020,DKI1,58,4,20,54,17,58,PM10,SEDANG
3/25/2020,DKI1,33,3,7,63,8,63,O3,SEDANG
3/26/2020,DKI1,49,4,10,42,10,49,PM10,BAIK
3/27/2020,DKI1,43,4,9,62,10,62,O3,SEDANG
3/28/2020,DKI1,58,6,12,67,14,67,O3,SEDANG
3/29/2020,DKI1,61,7,7,56,8,61,PM10,SEDANG
3/30/2020,DKI1,47,6,9,68,12,68,O3,SEDANG
3/31/2020,DKI1,51,11,9,84,10,84,O3,SEDANG
4/1/2020,DKI1,38,6,12,67,10,67,O3,SEDANG
4/2/2020,DKI1,32,4,6,33,7,33,O3,BAIK
4/3/2020,DKI1,30,5,4,33,5,33,O3,BAIK
4/4/2020,DKI1,42,6,8,47,7,47,O3,BAIK
4/5/2020,DKI1,50,4,6,63,8,63,O3,SEDANG
4/6/2020,DKI1,45,4,8,37,9,45,PM10,BAIK
4/7/2020,DKI1,26,3,11,35,9,35,O3,BAIK
4/8/2020,DKI1,26,5,5,31,7,31,O3,BAIK
4/9/2020,DKI1,36,3,5,27,10,36,PM10,BAIK
4/10/2020,DKI1,50,2,7,71,10,71,O3,SEDANG
4/11/2020,DKI1,48,2,6,88,6,88,O3,SEDANG
4/12/2020,DKI1,65,3,14,86,13,86,O3,SEDANG
4/13/2020,DKI1,40,2,8,46,9,46,O3,BAIK
4/14/2020,DKI1,48,4,8,51,10,51,O3,SEDANG
4/15/2020,DKI1,40,2,8,46,11,46,O3,BAIK
4/16/2020,DKI1,34,3,7,41,9,41,O3,BAIK
4/17/2020,DKI1,43,2,8,54,9,54,O3,SEDANG
4/18/2020,DKI1,43,4,5,72,7,72,O3,SEDANG
4/19/2020,DKI1,59,5,7,87,9,87,O3,SEDANG
4/20/2020,DKI1,60,3,---,73,7,73,O3,SEDANG
4/21/2020,DKI1,46,4,---,35,10,46,PM10,BAIK
4/22/2020,DKI1,74,14,6,47,11,74,PM10,SEDANG
4/23/2020,DKI1,45,5,5,43,7,45,PM10,BAIK
4/24/2020,DKI1,43,4,3,27,8,43,PM10,BAIK
4/25/2020,DKI1,46,3,7,45,8,46,PM10,BAIK
4/26/2020,DKI1,57,3,5,45,8,57,PM10,SEDANG
4/27/2020,DKI1,36,1,4,71,8,71,O3,SEDANG
4/28/2020,DKI1,49,2,7,45,13,49,PM10,BAIK
4/29/2020,DKI1,53,4,6,52,11,53,PM10,SEDANG
4/30/2020,DKI1,61,5,6,33,14,61,PM10,SEDANG
5/1/2020,DKI1,47,2,---,38,10,47,PM10,BAIK
5/2/2020,DKI1,32,2,12,29,9,32,PM10,BAIK
5/3/2020,DKI1,52,5,11,35,9,52,PM10,SEDANG
5/4/2020,DKI1,50,4,4,30,8,50,PM10,BAIK
5/5/2020,DKI1,51,7,7,34,9,51,PM10,SEDANG
5/6/2020,DKI1,44,4,4,29,7,44,PM10,BAIK
5/7/2020,DKI1,50,4,3,48,9,50,PM10,BAIK
5/8/2020,DKI1,60,4,4,60,10,60,PM10,SEDANG
5/9/2020,DKI1,56,4,3,34,12,56,PM10,SEDANG
5/10/2020,DKI1,64,5,3,44,12,64,PM10,SEDANG
5/11/2020,DKI1,44,2,4,47,8,47,O3,BAIK
5/12/2020,DKI1,47,3,4,62,10,62,O3,SEDANG
5/13/2020,DKI1,54,2,3,38,8,54,PM10,SEDANG
5/14/2020,DKI1,56,7,9,42,9,56,PM10,SEDANG
5/15/2020,DKI1,60,7,7,40,9,60,PM10,SEDANG
5/16/2020,DKI1,58,6,8,57,8,58,PM10,SEDANG
5/17/2020,DKI1,60,6,8,83,7,83,O3,SEDANG
5/18/2020,DKI1,54,4,6,43,10,54,PM10,SEDANG
5/19/2020,DKI1,30,8,8,59,13,59,O3,SEDANG
5/20/2020,DKI1,50,12,10,34,8,50,PM10,BAIK
5/21/2020,DKI1,27,7,7,49,9,49,O3,BAIK
5/22/2020,DKI1,58,8,7,42,8,58,PM10,SEDANG
5/23/2020,DKI1,42,3,10,52,8,52,O3,SEDANG
5/24/2020,DKI1,41,3,8,43,5,43,O3,BAIK
5/25/2020,DKI1,26,2,4,27,5,27,O3,BAIK
5/26/2020,DKI1,32,4,5,29,8,32,PM10,BAIK
5/27/2020,DKI1,22,4,4,65,8,65,O3,SEDANG
5/28/2020,DKI1,44,5,6,90,16,90,O3,SEDANG
5/29/2020,DKI1,58,8,6,74,12,74,O3,SEDANG
5/30/2020,DKI1,52,16,7,41,10,52,PM10,SEDANG
5/31/2020,DKI1,48,14,7,46,9,48,PM10,BAIK
6/1/2020,DKI1,50,14,10,45,9,50,PM10,BAIK
6/2/2020,DKI1,44,14,7,37,8,44,PM10,BAIK
6/3/2020,DKI1,41,14,4,31,8,41,PM10,BAIK
6/4/2020,DKI1,45,18,4,28,8,45,PM10,BAIK
6/5/2020,DKI1,56,18,6,60,12,60,O3,SEDANG
6/6/2020,DKI1,69,18,7,74,13,74,O3,SEDANG
6/6/2020,DKI1,55,16,5,65,9,65,O3,SEDANG
