Tanggal,Wilayah,PM10,SO2,CO,O3,NO2,Max,Critical,Kategori
7/13/2017,DKI1,37,16,23,103,5,103,O3,TIDAK SEHAT
7/14/2017,DKI1,45,18,22,71,5,71,O3,SEDANG
7/15/2017,DKI1,40,17,22,45,5,45,O3,BAIK
7/16/2017,DKI1,51,16,21,69,4,69,O3,SEDANG
7/17/2017,DKI1,38,16,19,96,6,96,O3,SEDANG
7/18/2017,DKI1,59,18,26,97,7,97,O3,SEDANG
7/19/2017,DKI1,86,20,22,122,9,122,O3,TIDAK SEHAT
7/20/2017,DKI1,53,15,24,50,7,53,PM10,SEDANG
7/21/2017,DKI1,43,13,23,95,5,95,O3,SEDANG
7/22/2017,DKI1,49,17,23,77,9,77,O3,SEDANG
7/23/2017,DKI1,45,14,20,64,4,64,O3,SEDANG
7/24/2017,DKI1,46,13,25,82,5,82,O3,SEDANG
7/25/2017,DKI1,48,16,20,56,6,56,O3,SEDANG
7/26/2017,DKI1,50,19,19,76,5,76,O3,SEDANG
7/27/2017,DKI1,50,17,20,85,10,85,O3,SEDANG
7/28/2017,DKI1,57,16,20,70,9,70,O3,SEDANG
7/29/2017,DKI1,38,16,18,55,5,55,O3,SEDANG
7/30/2017,DKI1,55,15,24,87,5,87,O3,SEDANG
7/31/2017,DKI1,48,14,19,74,4,74,O3,SEDANG
8/1/2017,DKI1,53,17,18,74,6,74,O3,SEDANG
8/2/2017,DKI1,46,18,19,60,5,60,O3,SEDANG
8/3/2017,DKI1,42,17,18,80,7,80,O3,SEDANG
8/4/2017,DKI1,52,18,18,97,7,97,O3,SEDANG
8/5/2017,DKI1,62,18,19,90,7,90,O3,SEDANG
8/6/2017,DKI1,61,18,19,90,5,90,O3,SEDANG
8/7/2017,DKI1,68,19,18,59,6,68,PM10,SEDANG
8/8/2017,DKI1,60,21,19,85,6,85,O3,SEDANG
8/9/2017,DKI1,56,16,23,141,6,141,O3,TIDAK SEHAT
8/10/2017,DKI1,34,15,21,72,6,72,O3,SEDANG
8/11/2017,DKI1,44,15,21,92,5,92,O3,SEDANG
8/12/2017,DKI1,56,19,18,65,8,65,O3,SEDANG
8/13/2017,DKI1,56,16,18,56,3,56,PM10,SEDANG
8/14/2017,DKI1,58,15,25,118,5,118,O3,TIDAK SEHAT
8/15/2017,DKI1,70,16,23,102,6,102,O3,TIDAK SEHAT
8/16/2017,DKI1,55,18,19,92,5,92,O3,SEDANG
8/17/2017,DKI1,39,18,18,105,5,105,O3,TIDAK SEHAT
8/18/2017,DKI1,5,21,17,63,4,63,O3,SEDANG
8/19/2017,DKI1,18,17,16,49,3,49,O3,BAIK
8/20/2017,DKI1,51,16,15,83,4,83,O3,SEDANG
8/21/2017,DKI1,52,19,18,77,5,77,O3,SEDANG
8/22/2017,DKI1,57,19,19,112,6,112,O3,TIDAK SEHAT
8/23/2017,DKI1,71,19,21,59,5,71,PM10,SEDANG
8/24/2017,DKI1,52,19,18,63,4,63,O3,SEDANG
8/25/2017,DKI1,53,19,16,66,4,66,O3,SEDANG
8/26/2017,DKI1,53,25,19,58,4,58,O3,SEDANG
8/27/2017,DKI1,62,20,18,51,6,62,PM10,SEDANG
8/28/2017,DKI1,56,18,16,49,5,56,PM10,SEDANG
8/29/2017,DKI1,61,24,21,138,6,138,O3,TIDAK SEHAT
8/30/2017,DKI1,56,18,20,48,5,56,PM10,SEDANG
8/31/2017,DKI1,51,18,16,64,5,64,O3,SEDANG
9/1/2017,DKI1,54,17,16,75,6,75,O3,SEDANG
9/2/2017,DKI1,56,18,15,77,3,77,O3,SEDANG
9/3/2017,DKI1,64,18,19,70,5,70,O3,SEDANG
9/4/2017,DKI1,63,19,20,110,9,110,O3,TIDAK SEHAT
9/5/2017,DKI1,52,17,19,79,6,79,O3,SEDANG
9/6/2017,DKI1,57,17,19,57,4,57,PM10,SEDANG
9/7/2017,DKI1,59,20,16,50,3,59,PM10,SEDANG
9/8/2017,DKI1,54,20,16,72,3,72,O3,SEDANG
9/9/2017,DKI1,55,21,16,64,4,64,O3,SEDANG
9/10/2017,DKI1,52,18,17,86,4,86,O3,SEDANG
9/11/2017,DKI1,56,17,20,95,4,95,O3,SEDANG
9/12/2017,DKI1,59,16,20,61,5,61,O3,SEDANG
9/13/2017,DKI1,59,19,21,113,6,113,O3,TIDAK SEHAT
9/14/2017,DKI1,68,23,21,86,6,86,O3,SEDANG
9/15/2017,DKI1,65,20,21,88,6,88,O3,SEDANG
9/16/2017,DKI1,59,18,18,66,5,66,O3,SEDANG
9/17/2017,DKI1,53,19,15,78,3,78,O3,SEDANG
9/18/2017,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
9/19/2017,DKI1,57,20,16,77,6,77,O3,SEDANG
9/20/2017,DKI1,57,18,17,63,5,63,O3,SEDANG
9/21/2017,DKI1,55,16,18,58,6,58,O3,SEDANG
9/22/2017,DKI1,68,19,18,127,9,127,O3,TIDAK SEHAT
9/23/2017,DKI1,63,20,21,137,7,137,O3,TIDAK SEHAT
9/24/2017,DKI1,62,19,20,88,5,88,O3,SEDANG
9/25/2017,DKI1,60,19,21,63,8,63,O3,SEDANG
9/26/2017,DKI1,62,19,24,53,5,62,PM10,SEDANG
