,0,1,2,3,4,5
194,78.0,51.0,21.0,80.0,10.0,80.0
195,71.0,49.0,29.0,46.0,7.0,71.0
196,73.0,49.0,32.0,70.0,9.0,73.0
197,70.0,50.0,10.0,83.0,6.0,83.0
198,94.0,51.0,27.0,77.0,13.0,94.0
199,89.0,51.0,20.0,76.0,7.0,89.0
200,76.0,49.0,22.0,86.0,6.0,86.0
201,66.0,48.0,22.0,122.0,12.0,122.0
202,71.0,50.0,19.0,108.0,6.0,108.0
203,67.0,49.0,14.0,70.0,6.0,70.0
204,75.0,50.0,21.0,86.0,8.0,86.0
205,71.0,50.0,14.0,63.4,7.0,71.0
206,70.0,51.0,17.0,59.0,7.0,70.0
207,63.0,50.0,15.0,69.0,7.0,69.0
208,56.0,50.0,13.0,58.0,4.0,58.0
209,50.0,50.0,13.0,48.0,5.0,50.0
210,58.48284166164961,32.21153846153846,16.382513661202186,56.74909747292419,11.27262044653349,72.78476630121177
211,58.48284166164961,32.21153846153846,16.382513661202186,56.74909747292419,11.27262044653349,72.78476630121177
212,64.0,51.0,12.0,52.6,4.0,64.0
213,56.0,51.0,12.0,58.0,5.0,58.0
214,54.0,51.0,10.0,65.0,4.0,65.0
215,64.0,51.0,11.0,93.0,5.0,93.0
216,79.0,51.0,19.0,79.0,4.0,79.0
217,81.0,51.0,19.0,80.0,4.0,81.0
218,85.0,50.0,20.0,56.0,3.0,85.0
219,76.6,51.0,19.0,83.0,6.0,83.0
220,77.6,51.0,24.0,109.0,7.0,109.0
221,54.0,50.0,14.0,85.0,9.0,85.0
222,59.0,50.0,33.0,83.0,7.0,83.0
223,68.0,51.0,18.0,70.0,4.0,70.0
224,69.0,51.0,15.0,62.0,1.0,69.0
225,80.0,51.0,21.0,94.0,5.0,94.0
226,87.0,50.0,23.0,66.0,11.4,87.0
227,66.0,51.0,19.0,62.0,3.0,66.0
228,72.0,51.0,16.0,86.0,3.0,86.0
229,73.0,51.0,13.0,62.0,3.0,73.0
230,60.0,51.0,8.0,56.0,2.0,60.0
231,58.0,50.0,9.0,62.0,5.6,62.0
232,86.0,51.0,15.0,64.0,10.0,86.0
233,92.0,51.0,25.0,91.0,8.6,92.0
234,101.0,52.0,19.0,51.0,12.6,101.0
235,61.0,51.0,10.0,50.0,6.8,61.0
236,64.0,51.0,9.0,52.0,8.8,64.0
237,71.0,52.0,12.0,48.0,10.8,71.0
238,77.0,51.0,17.0,41.0,9.0,77.0
239,66.0,51.0,12.0,39.0,7.2,66.0
240,77.0,52.0,14.0,103.0,7.8,103.0
241,62.0,51.0,13.0,45.0,8.4,62.0
242,74.0,51.0,13.0,68.0,8.0,74.0
243,64.0,51.0,9.0,62.0,7.0,64.0
244,78.0,51.0,10.0,65.0,11.0,78.0
245,107.0,51.0,19.0,57.0,10.0,107.0
246,103.0,52.0,18.0,89.0,11.0,103.0
247,64.0,52.0,9.0,64.0,9.0,64.0
248,66.0,51.0,18.0,55.0,12.0,66.0
249,68.0,51.0,13.0,51.0,11.0,68.0
250,78.0,52.0,11.0,56.0,12.0,78.0
251,72.0,52.0,11.0,61.0,10.0,72.0
252,59.0,52.0,9.0,86.0,8.0,86.0
253,65.0,51.0,14.0,75.0,9.0,75.0
254,91.0,52.0,17.0,67.0,20.0,91.0
255,71.0,53.0,14.0,120.0,11.0,120.0
256,89.0,53.0,18.0,105.0,11.0,105.0
257,93.0,52.0,23.0,99.0,11.0,99.0
258,75.0,52.0,16.0,57.0,12.0,75.0
259,60.0,52.0,11.0,56.0,9.0,60.0
260,66.0,52.0,8.0,40.0,10.0,66.0
261,60.0,52.0,7.0,79.0,7.0,79.0
262,58.0,52.0,7.0,83.0,7.0,83.0
263,77.0,54.0,14.0,63.0,21.0,77.0
264,68.0,52.0,15.0,93.0,12.0,93.0
265,81.0,53.0,22.0,75.0,13.0,81.0
266,73.0,54.0,12.0,64.0,9.0,73.0
267,68.0,52.0,15.0,62.0,12.0,68.0
268,75.0,51.0,22.0,47.0,11.0,75.0
269,45.0,51.0,6.0,22.0,6.0,51.0
270,61.0,51.0,29.0,89.0,12.0,89.0
271,69.0,35.2,13.0,86.0,8.0,86.0
272,54.0,52.0,11.0,43.0,11.0,54.0
273,47.0,19.8,12.0,61.0,10.0,61.0
274,55.0,52.0,23.0,52.0,9.0,55.0
275,58.0,51.0,28.0,56.0,13.0,58.0
276,56.0,52.0,15.0,72.0,11.0,72.0
277,66.0,52.0,16.0,50.0,9.0,66.0
278,62.0,52.0,8.0,56.0,8.0,62.0
279,71.0,52.0,17.0,76.0,9.0,76.0
280,66.0,52.0,10.0,57.0,9.0,66.0
281,72.0,52.0,17.0,64.0,13.0,72.0
282,58.0,51.0,27.0,82.0,14.0,82.0
283,67.0,52.0,16.0,75.0,22.0,75.0
284,77.0,52.0,16.0,81.0,16.0,81.0
285,55.0,52.0,23.0,72.0,15.0,72.0
286,52.0,53.0,8.0,69.0,10.0,69.0
287,61.0,53.0,5.0,89.0,8.0,89.0
288,44.0,53.0,6.0,55.0,10.0,55.0
289,52.0,52.0,11.0,62.0,10.0,62.0
290,61.0,53.0,9.0,91.0,15.0,91.0
